Lap,Driver,Position,Lap_Time
1,vettel,1,01:34.9
1,button,2,01:36.2
1,webber,3,01:36.9
1,alonso,4,01:37.6
1,massa,5,01:38.3
1,hamilton,6,01:39.3
1,rosberg,7,01:39.8
1,michael_schumacher,8,01:40.5
1,sutil,9,01:41.5
1,bruno_senna,10,01:42.4
1,alguersuari,11,01:42.7
1,buemi,12,01:43.4
1,resta,13,01:44.0
1,maldonado,14,01:44.5
1,petrov,15,01:45.4
1,kovalainen,16,01:46.2
1,karthikeyan,17,01:47.6
1,ricciardo,18,01:47.9
1,ambrosio,19,01:48.4
1,perez,20,01:49.6
1,glock,21,01:56.5
1,barrichello,22,02:10.0
1,trulli,23,03:11.6
2,vettel,1,01:33.7
2,button,2,01:34.5
2,webber,3,01:34.5
2,alonso,4,01:34.6
2,massa,5,01:35.0
2,hamilton,6,01:35.0
2,rosberg,7,01:35.7
2,michael_schumacher,8,01:35.9
2,sutil,9,01:36.5
2,bruno_senna,10,01:37.1
2,alguersuari,11,01:37.4
2,buemi,12,01:37.4
2,maldonado,13,01:37.5
2,petrov,14,01:37.4
2,kovalainen,15,01:37.3
2,resta,16,01:40.2
2,ricciardo,17,01:38.9
2,karthikeyan,18,01:40.1
2,ambrosio,19,01:40.0
2,perez,20,01:55.4
2,glock,21,02:09.0
2,barrichello,22,02:09.3
2,trulli,23,02:16.7
3,vettel,1,01:32.8
3,button,2,01:33.4
3,webber,3,01:33.3
3,alonso,4,01:33.7
3,massa,5,01:33.8
3,hamilton,6,01:34.1
3,rosberg,7,01:34.2
3,michael_schumacher,8,01:34.8
3,sutil,9,01:35.2
3,bruno_senna,10,01:35.3
3,alguersuari,11,01:35.4
3,buemi,12,01:35.6
3,maldonado,13,01:35.2
3,kovalainen,14,01:36.0
3,petrov,15,01:38.1
3,ricciardo,16,01:36.8
3,karthikeyan,17,01:37.5
3,ambrosio,18,01:37.9
3,resta,19,01:53.6
3,perez,20,01:34.4
3,barrichello,21,01:36.7
3,trulli,22,01:38.8
